Modelo	Almacenamiento	PrecioB2B	PrecioB2C	Tipo	Pantalla	Año	Procesador
Mac Pro (2019) A2304 Intel Xeon W 28 Core 2.5	4TB	555		Mac Pro		2019	
Mac Pro (2019) A1991 Intel Xeon W 8 Core 3.5	4TB	555		Mac Pro		2019	
Mac Pro (2019) A2304 Intel Xeon W 8 Core 3.5	4TB	555		Mac Pro		2019	
Mac Pro (2019) A1991 Intel Xeon W 12 Core 3.3	2TB	535		Mac Pro		2019	
Mac Pro (2019) A2304 Intel Xeon W 12 Core 3.3	2TB	535		Mac Pro		2019	
Mac Pro (2019) A1991 Intel Xeon W 16 Core 3.2	2TB	535		Mac Pro		2019	
Mac Pro (2019) A2304 Intel Xeon W 16 Core 3.2	2TB	535		Mac Pro		2019	
Mac Pro (2019) A1991 Intel Xeon W 24 Core 2.7	2TB	535		Mac Pro		2019	
Mac Pro (2019) A2304 Intel Xeon W 24 Core 2.7	2TB	535		Mac Pro		2019	
Mac Pro (2019) A1991 Intel Xeon W 28 Core 2.5	2TB	535		Mac Pro		2019	
Mac Pro (2019) A2304 Intel Xeon W 28 Core 2.5	2TB	535		Mac Pro		2019	
Mac Pro (2019) A1991 Intel Xeon W 8 Core 3.5	2TB	535		Mac Pro		2019	
Mac Pro (2019) A2304 Intel Xeon W 8 Core 3.5	2TB	535		Mac Pro		2019	
Mac Pro (2019) A1991 Intel Xeon W 12 Core 3.3	1TB	510		Mac Pro		2019	
Mac Pro (2019) A2304 Intel Xeon W 12 Core 3.3	1TB	510		Mac Pro		2019	
Mac Pro (2019) A1991 Intel Xeon W 16 Core 3.2	1TB	510		Mac Pro		2019	
Mac Pro (2019) A2304 Intel Xeon W 16 Core 3.2	1TB	510		Mac Pro		2019	
Mac Pro (2019) A1991 Intel Xeon W 24 Core 2.7	1TB	510		Mac Pro		2019	
Mac Pro (2019) A2304 Intel Xeon W 24 Core 2.7	1TB	510		Mac Pro		2019	
Mac Pro (2019) A1991 Intel Xeon W 28 Core 2.5	1TB	510		Mac Pro		2019	
Mac Pro (2019) A2304 Intel Xeon W 28 Core 2.5	1TB	510		Mac Pro		2019	
Mac Pro (2019) A1991 Intel Xeon W 8 Core 3.5	1TB	510		Mac Pro		2019	
Mac Pro (2019) A2304 Intel Xeon W 8 Core 3.5	1TB	510		Mac Pro		2019	
Mac Pro (2019) A1991 Intel Xeon W 12 Core 3.3	256GB	470		Mac Pro		2019	
Mac Pro (2019) A2304 Intel Xeon W 12 Core 3.3	256GB	470		Mac Pro		2019	
Mac Pro (2019) A1991 Intel Xeon W 16 Core 3.2	256GB	470		Mac Pro		2019	
Mac Pro (2019) A2304 Intel Xeon W 16 Core 3.2	256GB	470		Mac Pro		2019	
Mac Pro (2019) A1991 Intel Xeon W 24 Core 2.7	256GB	470		Mac Pro		2019	
Mac Pro (2019) A2304 Intel Xeon W 24 Core 2.7	256GB	470		Mac Pro		2019	
Mac Pro (2019) A1991 Intel Xeon W 28 Core 2.5	256GB	470		Mac Pro		2019	
Mac Pro (2019) A2304 Intel Xeon W 28 Core 2.5	256GB	470		Mac Pro		2019	
Mac Pro (2019) A1991 Intel Xeon W 8 Core 3.5	256GB	470		Mac Pro		2019	
Mac Pro (2019) A2304 Intel Xeon W 8 Core 3.5	256GB	470		Mac Pro		2019	
Mac mini (2023) A2686 M2 Pro 12 Core CPU 19 Core GPU	8TB	525		Mac mini		2023	M2 Pro
Mac mini (2023) A2686 M2 Pro 10 Core CPU 16 Core GPU	8TB	505		Mac mini		2023	M2 Pro
Mac mini (2023) A2686 M2 Pro 12 Core CPU 19 Core GPU	4TB	465		Mac mini		2023	M2 Pro
Mac mini (2023) A2686 M2 Pro 10 Core CPU 16 Core GPU	4TB	410		Mac mini		2023	M2 Pro
